Total pages,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVG: 3.5404503753,AVG: 21.7583333333,,,,,,,,,,,,,,,,,,,,,,,,,,
731,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
732,1,7,42,42,14,16,23,20,17,12,,,,,,,,,,,,,,,,,,,
733,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
734,1,7,36,36,14,17,19,18,12,9,,,,,,,,,,,,,,,,,,,
735,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
736,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
737,1,3,14,14,14,9,,,,,,,,,,,,,,,,,,,,,,,
738,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
739,1,6,40,40,23,20,19,25,15,,,,,,,,,,,,,,,,,,,,
740,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
741,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
742,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
743,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
744,1,3,25,25,20,16,,,,,,,,,,,,,,,,,,,,,,,
745,1,5,36,36,22,28,22,15,,,,,,,,,,,,,,,,,,,,,
746,1,5,35,35,21,23,18,13,,,,,,,,,,,,,,,,,,,,,
747,1,3,22,22,21,14,,,,,,,,,,,,,,,,,,,,,,,
748,1,8,45,45,15,17,22,20,13,17,15,,,,,,,,,,,,,,,,,,
749,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
750,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
751,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
752,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
753,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
754,1,4,20,20,17,14,14,,,,,,,,,,,,,,,,,,,,,,
755,1,4,25,25,17,12,12,,,,,,,,,,,,,,,,,,,,,,
756,1,3,19,19,15,17,,,,,,,,,,,,,,,,,,,,,,,
757,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
758,2,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
759,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
760,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
761,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
762,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
763,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
764,1,4,23,23,13,16,11,,,,,,,,,,,,,,,,,,,,,,
765,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
766,2,7,45,45,17,19,21,25,20,16,,,,,,,,,,,,,,,,,,,
767,1,6,37,37,12,17,17,16,21,,,,,,,,,,,,,,,,,,,,
768,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
769,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
770,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
771,1,3,22,22,21,14,,,,,,,,,,,,,,,,,,,,,,,
772,2,7,49,49,22,21,18,17,20,17,,,,,,,,,,,,,,,,,,,
773,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
774,1,4,32,32,21,22,16,,,,,,,,,,,,,,,,,,,,,,
775,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
776,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
777,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
778,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
779,1,6,34,34,18,17,16,14,16,,,,,,,,,,,,,,,,,,,,
780,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
781,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
782,3,12,62,62,19,16,18,23,22,20,21,19,16,15,13,,,,,,,,,,,,,,
783,1,3,23,23,18,18,,,,,,,,,,,,,,,,,,,,,,,
784,1,4,28,28,12,19,22,,,,,,,,,,,,,,,,,,,,,,
785,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
786,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
787,1,7,43,43,18,19,19,16,18,11,,,,,,,,,,,,,,,,,,,
788,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
789,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
790,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
791,2,8,54,54,20,20,12,18,21,21,16,,,,,,,,,,,,,,,,,,
792,1,3,21,21,20,9,,,,,,,,,,,,,,,,,,,,,,,
793,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
794,1,6,33,33,17,15,16,19,15,,,,,,,,,,,,,,,,,,,,
795,1,3,23,23,20,16,,,,,,,,,,,,,,,,,,,,,,,
796,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
797,1,3,27,27,24,18,,,,,,,,,,,,,,,,,,,,,,,
798,1,3,27,27,20,24,,,,,,,,,,,,,,,,,,,,,,,
799,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
800,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
801,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
802,1,3,20,20,18,14,,,,,,,,,,,,,,,,,,,,,,,
803,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
804,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
805,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
806,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
807,1,2,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,
808,2,10,52,52,21,21,16,17,15,15,17,15,10,,,,,,,,,,,,,,,,
809,1,7,47,47,18,19,22,27,20,14,,,,,,,,,,,,,,,,,,,
810,1,4,41,41,33,26,16,,,,,,,,,,,,,,,,,,,,,,
811,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
812,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
813,1,5,21,21,12,13,11,8,,,,,,,,,,,,,,,,,,,,,
814,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
815,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
816,2,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
817,1,3,24,24,21,14,,,,,,,,,,,,,,,,,,,,,,,
818,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
819,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
820,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
821,1,3,17,17,15,11,,,,,,,,,,,,,,,,,,,,,,,
822,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
823,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
824,1,3,24,24,21,17,,,,,,,,,,,,,,,,,,,,,,,
825,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
826,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
827,1,5,30,30,18,22,20,10,,,,,,,,,,,,,,,,,,,,,
828,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
829,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
830,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
831,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
832,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
833,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
834,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
835,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
836,1,4,28,28,13,18,17,,,,,,,,,,,,,,,,,,,,,,
837,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
838,1,3,15,15,14,12,,,,,,,,,,,,,,,,,,,,,,,
839,1,3,17,17,15,11,,,,,,,,,,,,,,,,,,,,,,,
840,1,3,23,23,22,14,,,,,,,,,,,,,,,,,,,,,,,
841,1,3,20,20,19,17,,,,,,,,,,,,,,,,,,,,,,,
842,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
843,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
844,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
845,1,3,19,19,18,12,,,,,,,,,,,,,,,,,,,,,,,
846,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
847,2,5,28,28,17,17,16,10,,,,,,,,,,,,,,,,,,,,,
848,1,5,30,30,12,18,14,12,,,,,,,,,,,,,,,,,,,,,
849,2,12,70,70,18,22,20,20,19,18,23,23,22,21,24,,,,,,,,,,,,,,
850,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
851,1,4,23,23,19,15,11,,,,,,,,,,,,,,,,,,,,,,
852,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
853,2,4,18,18,13,13,6,,,,,,,,,,,,,,,,,,,,,,
854,1,6,36,36,21,20,14,16,16,,,,,,,,,,,,,,,,,,,,
855,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
856,1,3,22,22,18,18,,,,,,,,,,,,,,,,,,,,,,,
857,1,4,23,23,18,17,8,,,,,,,,,,,,,,,,,,,,,,
858,1,3,15,15,14,9,,,,,,,,,,,,,,,,,,,,,,,
859,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
860,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
861,1,6,23,23,10,15,12,13,8,,,,,,,,,,,,,,,,,,,,
862,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
863,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
864,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
865,2,3,20,20,13,17,,,,,,,,,,,,,,,,,,,,,,,
866,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
867,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
868,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
869,1,4,28,28,18,19,16,,,,,,,,,,,,,,,,,,,,,,
870,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
871,1,3,20,20,17,16,,,,,,,,,,,,,,,,,,,,,,,
872,1,4,9,9,5,6,5,,,,,,,,,,,,,,,,,,,,,,
873,1,4,26,26,13,17,14,,,,,,,,,,,,,,,,,,,,,,
874,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
875,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
876,1,3,20,20,19,17,,,,,,,,,,,,,,,,,,,,,,,
877,2,4,29,29,17,20,15,,,,,,,,,,,,,,,,,,,,,,
878,1,7,30,30,18,14,15,13,13,13,,,,,,,,,,,,,,,,,,,
879,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
880,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
881,1,3,18,18,16,11,,,,,,,,,,,,,,,,,,,,,,,
882,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
883,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
884,1,3,23,23,19,21,,,,,,,,,,,,,,,,,,,,,,,
885,1,3,20,20,13,14,,,,,,,,,,,,,,,,,,,,,,,
886,1,3,17,17,17,12,,,,,,,,,,,,,,,,,,,,,,,
887,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
888,2,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
889,1,3,19,19,18,15,,,,,,,,,,,,,,,,,,,,,,,
890,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
891,2,13,55,55,11,11,12,12,12,13,12,9,14,15,16,12,,,,,,,,,,,,,
892,1,4,35,35,16,17,26,,,,,,,,,,,,,,,,,,,,,,
893,1,7,36,36,18,16,21,17,13,15,,,,,,,,,,,,,,,,,,,
894,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
895,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
896,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
897,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
898,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
899,2,11,59,59,23,19,11,15,19,20,12,11,15,19,,,,,,,,,,,,,,,
900,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
901,1,2,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,
902,2,6,39,39,16,20,23,15,9,,,,,,,,,,,,,,,,,,,,
903,1,6,30,30,18,15,16,12,14,,,,,,,,,,,,,,,,,,,,
904,1,4,22,22,13,16,17,,,,,,,,,,,,,,,,,,,,,,
905,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
906,1,7,40,40,15,16,14,15,17,20,,,,,,,,,,,,,,,,,,,
907,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
908,1,5,32,32,18,17,18,17,,,,,,,,,,,,,,,,,,,,,
909,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
910,2,7,27,27,14,17,16,9,9,12,,,,,,,,,,,,,,,,,,,
911,1,4,35,35,21,20,18,,,,,,,,,,,,,,,,,,,,,,
912,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
913,1,6,39,39,16,18,16,16,18,,,,,,,,,,,,,,,,,,,,
914,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
915,2,3,38,38,32,22,,,,,,,,,,,,,,,,,,,,,,,
916,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
917,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
918,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
919,3,6,47,47,19,16,25,27,22,,,,,,,,,,,,,,,,,,,,
920,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
921,1,3,19,19,18,16,,,,,,,,,,,,,,,,,,,,,,,
922,1,13,58,58,13,14,7,8,15,15,11,11,19,19,16,16,,,,,,,,,,,,,
923,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
924,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
925,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
926,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
927,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
928,1,3,19,19,18,12,,,,,,,,,,,,,,,,,,,,,,,
929,1,5,28,28,13,16,18,12,,,,,,,,,,,,,,,,,,,,,
930,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
931,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
932,1,4,36,36,23,25,23,,,,,,,,,,,,,,,,,,,,,,
933,1,8,47,47,15,21,18,17,20,18,12,,,,,,,,,,,,,,,,,,
934,1,4,23,23,19,16,8,,,,,,,,,,,,,,,,,,,,,,
935,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
936,2,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
937,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
938,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
939,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
940,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
941,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
942,2,4,24,24,16,17,9,,,,,,,,,,,,,,,,,,,,,,
943,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
944,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
945,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
946,1,5,32,32,14,15,20,17,,,,,,,,,,,,,,,,,,,,,
947,1,3,18,18,17,14,,,,,,,,,,,,,,,,,,,,,,,
948,2,6,41,41,18,16,14,22,21,,,,,,,,,,,,,,,,,,,,
949,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
950,2,9,57,57,13,19,18,15,18,18,23,21,,,,,,,,,,,,,,,,,
951,1,3,20,20,16,16,,,,,,,,,,,,,,,,,,,,,,,
952,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
953,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
954,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
955,1,6,41,41,21,24,17,21,22,,,,,,,,,,,,,,,,,,,,
956,2,3,15,15,14,9,,,,,,,,,,,,,,,,,,,,,,,
957,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
958,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
959,1,8,38,38,11,7,11,15,15,13,10,,,,,,,,,,,,,,,,,,
960,2,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
961,1,3,14,14,12,10,,,,,,,,,,,,,,,,,,,,,,,
962,1,3,18,18,18,14,,,,,,,,,,,,,,,,,,,,,,,
963,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
964,1,4,23,23,17,16,11,,,,,,,,,,,,,,,,,,,,,,
965,1,4,34,34,24,20,16,,,,,,,,,,,,,,,,,,,,,,
966,1,3,21,21,19,14,,,,,,,,,,,,,,,,,,,,,,,
967,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
968,1,5,38,38,23,20,19,12,,,,,,,,,,,,,,,,,,,,,
969,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
970,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
971,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
972,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
973,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
974,1,3,22,22,19,16,,,,,,,,,,,,,,,,,,,,,,,
975,1,4,29,29,20,21,15,,,,,,,,,,,,,,,,,,,,,,
976,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
977,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
978,1,11,61,61,18,20,21,23,29,16,12,18,18,14,,,,,,,,,,,,,,,
979,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
980,2,12,70,70,20,20,17,17,16,21,25,23,19,21,19,,,,,,,,,,,,,,
981,1,5,10,10,8,3,4,5,,,,,,,,,,,,,,,,,,,,,
982,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
983,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
984,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
985,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
986,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
987,2,7,52,52,25,18,16,18,19,14,,,,,,,,,,,,,,,,,,,
988,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
989,1,6,30,30,18,15,16,13,5,,,,,,,,,,,,,,,,,,,,
990,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
991,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
992,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
993,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
994,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
995,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
996,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
997,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
998,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
999,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1000,2,3,25,25,24,17,,,,,,,,,,,,,,,,,,,,,,,
1001,2,3,16,16,14,9,,,,,,,,,,,,,,,,,,,,,,,
1002,1,4,19,19,15,16,14,,,,,,,,,,,,,,,,,,,,,,
1003,3,9,63,63,19,14,23,25,19,17,18,21,,,,,,,,,,,,,,,,,
1004,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
1005,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
1006,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
1007,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
1008,1,26,36,36,16,14,16,14,16,15,16,16,13,13,18,17,14,15,16,14,14,14,15,15,9,13,15,15,12
1009,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
1010,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
1011,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
1012,1,5,49,49,24,23,27,21,,,,,,,,,,,,,,,,,,,,,
1013,2,3,19,19,18,13,,,,,,,,,,,,,,,,,,,,,,,
1014,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
1015,1,9,32,32,11,11,12,9,8,10,8,5,,,,,,,,,,,,,,,,,
1016,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
1017,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1018,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1019,2,5,39,39,21,20,17,18,,,,,,,,,,,,,,,,,,,,,
1020,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1021,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
1022,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
1023,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
1024,1,8,47,47,13,21,23,18,18,18,16,,,,,,,,,,,,,,,,,,
1025,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
1026,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1027,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
1028,2,14,65,65,9,15,18,19,18,17,17,14,12,15,14,11,9,,,,,,,,,,,,
1029,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1030,2,4,33,33,18,21,17,,,,,,,,,,,,,,,,,,,,,,
1031,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
1032,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
1033,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1034,1,4,33,33,23,16,16,,,,,,,,,,,,,,,,,,,,,,
1035,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1036,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
1037,2,11,68,68,16,17,19,14,19,26,21,21,22,15,,,,,,,,,,,,,,,
1038,1,4,38,38,27,23,18,,,,,,,,,,,,,,,,,,,,,,
1039,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
1040,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1041,1,5,40,40,19,18,22,26,,,,,,,,,,,,,,,,,,,,,
1042,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
1043,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1044,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
1045,2,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
1046,1,6,38,38,19,22,20,18,12,,,,,,,,,,,,,,,,,,,,
1047,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
1048,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1049,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1050,1,19,74,74,18,19,18,20,20,25,21,15,15,10,10,16,16,15,19,19,19,14,,,,,,,
1051,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
1052,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1053,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
1054,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
1055,2,10,47,47,17,17,16,19,18,16,19,16,17,,,,,,,,,,,,,,,,
1056,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
1057,1,5,16,16,15,11,11,12,,,,,,,,,,,,,,,,,,,,,
1058,1,5,31,31,17,19,17,16,,,,,,,,,,,,,,,,,,,,,
1059,2,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
1060,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
1061,1,9,54,54,20,24,24,21,17,18,16,14,,,,,,,,,,,,,,,,,
1062,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1063,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
1064,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
1065,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
1066,2,6,46,46,21,26,26,20,15,,,,,,,,,,,,,,,,,,,,
1067,1,10,53,53,17,24,22,24,21,15,16,17,8,,,,,,,,,,,,,,,,
1068,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
1069,1,3,23,23,21,17,,,,,,,,,,,,,,,,,,,,,,,
1070,2,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
1071,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
1072,1,12,78,78,20,25,18,17,19,15,16,14,13,15,21,,,,,,,,,,,,,,
1073,1,4,30,30,19,22,17,,,,,,,,,,,,,,,,,,,,,,
1074,2,8,58,58,22,24,23,22,21,24,21,,,,,,,,,,,,,,,,,,
1075,1,3,20,20,17,14,,,,,,,,,,,,,,,,,,,,,,,
1076,1,9,42,42,13,12,16,18,16,17,16,11,,,,,,,,,,,,,,,,,
1077,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1078,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1079,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
1080,1,4,15,15,11,6,5,,,,,,,,,,,,,,,,,,,,,,
1081,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
1082,1,5,35,35,17,20,19,19,,,,,,,,,,,,,,,,,,,,,
1083,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
1084,1,3,22,22,21,11,,,,,,,,,,,,,,,,,,,,,,,
1085,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
1086,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1087,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
1088,1,3,26,26,23,18,,,,,,,,,,,,,,,,,,,,,,,
1089,1,3,9,9,9,5,,,,,,,,,,,,,,,,,,,,,,,
1090,1,4,23,23,15,14,12,,,,,,,,,,,,,,,,,,,,,,
1091,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1092,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
1093,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
1094,2,9,48,48,23,21,11,10,15,13,19,13,,,,,,,,,,,,,,,,,
1095,1,3,18,18,16,12,,,,,,,,,,,,,,,,,,,,,,,
1096,2,7,39,39,13,16,19,21,20,14,,,,,,,,,,,,,,,,,,,
1097,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
1098,1,7,49,49,23,21,19,15,22,21,,,,,,,,,,,,,,,,,,,
